country,name,firstname,position,team,games,goals,assists,points,dollar_salary,dollar_point
CAN,McDavid,Connor,C,EDM,82,30,70,100,925000,9250
SWE,Arvidsson,Viktor,LW/RW,NSH,80,31,30,61,640000,10355
RUS,Panarin,Artemi,LW/C,CHI,82,31,43,74,925000,10980
DEU,Draisaitl,Leon,C,EDM,82,29,48,77,925000,12013
USA,Sheary,Conor,LW,PIT,61,23,30,53,667500,12594
CAN,Gagner,Sam,C/RW,CBJ,81,18,32,50,650000,13000
CZE,Pastrnak,David,RW/LW,BOS,75,34,36,70,925000,13214
USA,Matthews,Auston,C,TOR,82,40,29,69,925000,13406
DNK,Ehlers,Nikolaj,LW,WPG,82,25,39,64,925000,13971
FIN,Laine,Patrik,RW,WPG,73,36,28,64,925000,14453
CAN,Marner,Mitchell,C/RW,TOR,77,19,42,61,925000,14658
CAN,Nylander,William,C/RW,TOR,81,22,39,61,925000,14658
CAN,Marchessault,Jonathan,C,FLA,75,30,21,51,750000,14706
SWE,Wennberg,Alex,C,CBJ,80,13,46,59,925000,15678
USA,Eichel,Jack,C,BUF,61,24,33,57,925000,16228
CAN,Drouin,Jonathan,LW,T.B,73,21,32,53,832500,16871
CAN,Point,Brayden,C,T.B,68,18,22,40,667500,17167
CAN,Horvat,Bo,C,VAN,81,20,32,52,832500,17196
CZE,Vrbata,Radim,RW,ARI,81,20,35,55,1000000,18182
FIN,Aho,Sebastian,RW/LW,CAR,82,24,25,49,925000,18878
CAN,Reinhart,Sam,C,BUF,79,17,30,47,925000,19025
CAN,Brown,Connor,RW,TOR,82,20,16,36,650000,19074
USA,Tkachuk,Matthew,LW,CGY,76,13,35,48,925000,19271
CAN,Severson,Damon,D,N.J,80,3,28,31,600000,19543
CAN,Eaves,Patrick,RW/LW,ANA/DAL,79,32,19,51,1000000,19608
USA,Werenski,Zach,D,CBJ,78,11,36,47,925000,19681
SVK,Panik,Richard,RW/LW,CHI,82,22,22,44,875000,19886
USA,Ryan,Derek,C,CAR,67,11,18,29,600000,20690
FIN,Teravainen,Teuvo,LW/C/RW,CAR,81,15,27,42,832500,21290
CAN,Athanasiou,Andreas,C,DET,64,18,11,29,575000,21667
USA,Slavin,Jaccob,D,CAR,82,5,29,34,742500,21838
USA,Guentzel,Jake,C/LW,PIT,40,16,17,33,667500,22247
CAN,Domi,Max,LW/C,ARI,59,9,29,38,832500,22719
CAN,Danault,Phillip,LW/C,MTL,82,13,27,40,875000,22813
USA,Rust,Bryan,RW,PIT,57,15,13,28,620000,22857
CAN,Anderson,Josh,RW,CBJ,78,17,12,29,700000,23391
USA,Dzingel,Ryan,LW/RW/C,OTT,81,14,18,32,750000,23438
FIN,Rantanen,Mikko,RW,COL,75,20,18,38,925000,23531
USA,Gostisbehere,Shayne,D,PHI,76,7,32,39,925000,23718
USA,Skjei,Brady,D,NYR,80,5,34,39,925000,23718
CAN,Mantha,Anthony,RW,DET,60,17,19,36,832500,23981
CAN,Wilson,Scott,LW/C,PIT,78,8,18,26,590000,24038
CAN,Spooner,Ryan,C/LW,BOS,78,12,28,39,1100000,24359
CAN,Martinook,Jordan,LW/C,ARI,77,11,14,25,625000,24500
CAN,Parayko,Colton,D,STL,81,4,31,35,925000,24536
USA,Dvorak,Christian,C/LW,ARI,78,15,18,33,792500,25429
AUT,Burakovsky,Andre,LW/C,WSH,64,12,23,35,832500,25548
CAN,Versteeg,Kris,RW/LW,CGY,69,15,22,37,950000,25676
RUS,Zaitsev,Nikita,D,TOR,82,4,32,36,925000,25694
CZE,Faksa,Radek,C,DAL,80,12,21,33,832500,26162
CAN,Shore,Devin,C,DAL,82,13,20,33,867500,26364
CHE,Andrighetto,Sven,RW,COL/MTL,46,7,17,24,650000,27083
CAN,Byron,Paul,LW/C/RW,MTL,81,22,21,43,1300000,27132
CAN,Pageau,Jean-Gabriel,C,OTT,82,12,21,33,1100000,27273
CAN,Schultz,Justin,D,PIT,78,12,39,51,1400000,27451
USA,Hartman,Ryan,LW/RW,CHI,76,19,12,31,832500,27849
FIN,Granlund,Markus,C,VAN,69,19,13,32,850000,28125
USA,Larkin,Dylan,C/LW,DET,80,17,15,32,925000,28906
USA,Dowd,Nic,C,L.A,70,6,16,22,630000,29091
RUS,Provorov,Ivan,D,PHI,82,6,24,30,925000,29806
FIN,Lehkonen,Artturi,LW,MTL,73,18,10,28,667500,29970
CAN,Fabbri,Robby,C/LW,STL,51,11,18,29,925000,30833
CAN,Tierney,Chris,C,S.J,80,11,12,23,700000,30942
CAN,Pearson,Tanner,LW,L.A,80,24,20,44,1550000,31818
USA,Hanifin,Noah,D,CAR,81,4,25,29,925000,31897
CAN,Konecny,Travis,C/LW,PHI,70,11,17,28,925000,31935
CAN,Ritchie,Nick,LW,ANA,77,14,14,28,925000,31935
CAN,Hyman,Zach,C/RW/LW,TOR,82,10,18,28,900000,32143
USA,Cullen,Matt,C/LW,PIT,72,13,18,31,1000000,32258
SWE,Lindberg,Oscar,C,NYR,65,8,12,20,700000,32500
CAN,Ferland,Micheal,LW/RW,CGY,76,15,10,25,900000,33000
USA,Schmaltz,Nick,C/LW,CHI,61,6,22,28,925000,33036
CAN,Chiasson,Alex,RW,CGY,81,12,12,24,800000,33333
USA,Watson,Austin,LW,NSH,77,5,12,17,575000,33824
CAN,Quine,Alan,C,NYI,61,5,13,18,575000,34028
USA,Vesey,Jimmy,LW,NYR,80,16,11,27,925000,34259
CAN,Pyatt,Tom,LW/C,OTT,82,9,14,23,800000,34783
USA,Shore,Nick,C,L.A,70,6,11,17,600000,35294
CAN,Bennett,Sam,C,CGY,81,13,13,26,925000,35577
CAN,Beaulieu,Nathan,D,MTL,74,4,24,28,1000000,35714
USA,Labanc,Kevin,RW,S.J,55,8,12,20,667500,35875
CAN,Moore,Dominic,C/LW,BOS,82,11,14,25,900000,36000
CAN,Bourque,Rene,RW/LW,COL,65,12,6,18,650000,36111
USA,Forbort,Derek,D,L.A,82,2,16,18,650000,36111
CAN,Ritchie,Brett,RW,DAL,78,16,8,24,875000,36458
CAN,Connolly,Brett,RW/LW,WSH,66,15,8,23,850000,36957
CAN,Beauvillier,Anthony,C/LW,NYI,66,9,15,24,925000,37257
CZE,Zacha,Pavel,C,N.J,70,8,16,24,925000,37257
CAN,Cracknell,Adam,RW/C,DAL,69,10,6,16,600000,37500
USA,Bennett,Beau,RW/LW,N.J,65,8,11,19,725000,38158
FIN,Haula,Erik,C/LW,MIN,72,15,11,26,1050000,38462
CAN,Stecher,Troy,D,VAN,71,3,21,24,925000,38542
