"Entwicklung der Anzahl Getöteter im Strassenverkehr nach Wochentag, 1963–2015",,,,,,,,
Jahr,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Total
1963,  183,  162,  161,  166,  173,  216,  269, 1 330
1964,  175,  166,  182,  192,  198,  230,  255, 1 398
1965,  194,  137,  145,  149,  191,  227,  250, 1 293
1966,  172,  167,  165,  168,  200,  206,  223, 1 301
1967,  202,  174,  210,  170,  190,  224,  288, 1 458
1968,  178,  204,  168,  166,  222,  255,  249, 1 442
1969,  201,  210,  201,  219,  218,  262,  266, 1 577
1970,  215,  207,  194,  227,  244,  285,  322, 1 694
1971,  234,  194,  212,  235,  260,  341,  297, 1 773
1972,  304,  198,  203,  205,  233,  252,  327, 1 722
1973,  192,  191,  176,  166,  233,  245,  248, 1 451
1974,  176,  165,  174,  161,  196,  267,  233, 1 372
1975,  142,  137,  149,  175,  200,  234,  206, 1 243
1976,  133,  144,  172,  143,  201,  193,  202, 1 188
1977,  167,  142,  152,  176,  190,  264,  211, 1 302
1978,  142,  158,  190,  161,  216,  202,  199, 1 268
1979,  164,  159,  185,  176,  173,  198,  213, 1 268
1980,  147,  160,  157,  191,  188,  200,  203, 1 246
1981,  126,  143,  143,  184,  180,  211,  178, 1 165
1982,  139,  127,  147,  160,  194,  204,  221, 1 192
1983,  132,  145,  137,  152,  174,  224,  195, 1 159
1984,  125,  135,  153,  145,  179,  201,  163, 1 101
1985,  106,  105,  110,  111,  143,  178,  155,  908
1986,  137,  147,  111,  115,  151,  204,  169, 1 034
1987,  113,  115,  117,  145,  147,  162,  153,  952
1988,  117,  131,  127,  121,  142,  167,  140,  945
1989,  113,  110,  121,  115,  167,  162,  137,  925
1990,  115,  130,  119,  133,  130,  168,  159,  954
1991,  102,  102,  124,  107,  160,  159,  106,  860
1992,  90,  118,  109,  110,  139,  166,  102,  834
1993,  87,  79,  92,  113,  129,  117,  106,  723
1994,  96,  99,  95,  90,  106,  115,  78,  679
1995,  92,  79,  89,  93,  101,  123,  115,  692
1996,  74,  65,  79,  101,  94,  114,  89,  616
1997,  68,  71,  77,  91,  98,  88,  94,  587
1998,  77,  83,  88,  78,  87,  96,  88,  597
1999,  59,  77,  88,  55,  98,  111,  95,  583
2000,  64,  63,  93,  90,  92,  113,  77,  592
2001,  71,  71,  74,  88,  69,  99,  72,  544
2002,  80,  59,  55,  65,  75,  93,  86,  513
2003,  62,  81,  64,  72,  85,  112,  70,  546
2004,  71,  64,  65,  50,  80,  103,  77,  510
2005,  48,  62,  42,  47,  70,  77,  63,  409
2006,  54,  45,  43,  53,  64,  68,  43,  370
2007,  42,  46,  46,  55,  63,  67,  65,  384
2008,  51,  41,  55,  40,  59,  65,  46,  357
2009,  51,  42,  50,  42,  47,  62,  55,  349
2010,  40,  47,  55,  48,  38,  51,  48,  327
2011,  42,  46,  44,  56,  49,  41,  42,  320
2012,  51,  64,  40,  50,  40,  51,  43,  339
2013,  32,  33,  38,  41,  46,  42,  37,  269
2014,  25,  34,  33,  37,  42,  39,  33,  243
2015,  35,  29,  27,  41,  50,  35,  36,  253
"Quelle: BFS/ASTRA, polizeilich registrierte Unfälle ",,,,,,,USV.WT.05,
