country,name,firstname,position,team,games,goals,assists,points,salary,dollar_point,,,,
CAN,McDavid,Connor,C,EDM,82,30,70,100,CA$925'000.00,CA$ 9250.00,,,,
SWE,Arvidsson,Viktor,LW/RW,NSH,80,31,30,61,CA$640'000.00,CA$ 10355.20,,,,
RUS,Panarin,Artemi,LW/C,CHI,82,31,43,74,CA$925'000.00,CA$ 10979.73,,,,
DEU,Draisaitl,Leon,C,EDM,82,29,48,77,CA$925'000.00,CA$ 12012.99,,,,
USA,Sheary,Conor,LW,PIT,61,23,30,53,CA$667'500.00,CA$ 12594.34,,,,
CAN,Gagner,Sam,C/RW,CBJ,81,18,32,50,CA$650'000.00,CA$ 13000.00,,,,
CZE,Pastrnak,David,RW/LW,BOS,75,34,36,70,CA$925'000.00,CA$ 13214.29,,,,
USA,Matthews,Auston,C,TOR,82,40,29,69,CA$925'000.00,CA$ 13405.80,,,,
DNK,Ehlers,Nikolaj,LW,WPG,82,25,39,64,CA$925'000.00,CA$ 13971.36,,,,
FIN,Laine,Patrik,RW,WPG,73,36,28,64,CA$925'000.00,CA$ 14453.13,,,,
CAN,Marner,Mitchell,C/RW,TOR,77,19,42,61,CA$925'000.00,CA$ 14658.48,,,,
CAN,Nylander,William,C/RW,TOR,81,22,39,61,CA$925'000.00,CA$ 14658.48,,,,
CAN,Marchessault,Jonathan,C,FLA,75,30,21,51,CA$750'000.00,CA$ 14705.88,,,,
SWE,Wennberg,Alex,C,CBJ,80,13,46,59,CA$925'000.00,CA$ 15677.97,,,,
USA,Eichel,Jack,C,BUF,61,24,33,57,CA$925'000.00,CA$ 16228.07,,,,
CAN,Drouin,Jonathan,LW,T.B,73,21,32,53,CA$832'500.00,CA$ 16871.08,,,,
CAN,Point,Brayden,C,T.B,68,18,22,40,CA$667'500.00,CA$ 17166.68,,,,
CAN,Horvat,Bo,C,VAN,81,20,32,52,CA$832'500.00,CA$ 17195.52,,,,
CZE,Vrbata,Radim,RW,ARI,81,20,35,55,CA$1'000'000.00,CA$ 18181.82,,,,
FIN,Aho,Sebastian,RW/LW,CAR,82,24,25,49,CA$925'000.00,CA$ 18877.55,,,,
CAN,Reinhart,Sam,C,BUF,79,17,30,47,CA$925'000.00,CA$ 19024.83,,,,
CAN,Brown,Connor,RW,TOR,82,20,16,36,CA$650'000.00,CA$ 19074.08,,,,
USA,Tkachuk,Matthew,LW,CGY,76,13,35,48,CA$925'000.00,CA$ 19270.83,,,,
CAN,Severson,Damon,D,N.J,80,3,28,31,CA$600'000.00,CA$ 19543.00,,,,
CAN,Eaves,Patrick,RW/LW,ANA/DAL,79,32,19,51,CA$1'000'000.00,CA$ 19607.84,,,,
USA,Werenski,Zach,D,CBJ,78,11,36,47,CA$925'000.00,CA$ 19680.85,,,,
SVK,Panik,Richard,RW/LW,CHI,82,22,22,44,CA$875'000.00,CA$ 19886.36,,,,
USA,Ryan,Derek,C,CAR,67,11,18,29,CA$600'000.00,CA$ 20689.66,,,,
FIN,Teravainen,Teuvo,LW/C/RW,CAR,81,15,27,42,CA$832'500.00,CA$ 21289.69,,,,
